,Gene
11806,RP11-448G15.3
11845,BOD1L1
11869,FBXL5
11873,RP11-442P12.2
11877,FGFBP2
12037,PGM2
12038,RP11-177C12.5
12039,RP11-177C12.1
12048,LINC01259
12054,TLR10
12055,TLR1
12056,TLR6
12072,UGDH
12074,SMIM14
12097,RBM47
12098,RP11-588L15.2
12101,NSUN7
12102,ARL4AP2
12103,APBB2
12122,TMEM33
12123,DCAF4L1
12124,RP11-814H16.2
12134,RP11-109E24.1
12197,RP11-317G22.2
12249,RPL21P44
12250,RP11-571I18.4
12251,CHIC2
12274,LRRC34P2
12279,TMEM165
12287,EXOC1
12288,RNU6-652P
12289,CEP135
12297,PPAT
12312,REST
12448,RP11-704M14.1
12450,RP11-618I10.1
12465,SULT1B1
12504,ADAMTS3
12531,CXCL5
12558,THAP6
12566,NAAA
12600,CCNG2
12602,CTB-179I1.1
12617,ANXA3
12618,LINC01094
12634,ANTXR2
12652,BIN2P1
12655,HNRNPD
12671,SEC31A
12699,WDFY3
12703,WDFY3-AS2
12706,ARHGAP24
12719,AFF1
12721,KLHL8
12726,HSD17B13
12755,HERC3
12760,FAM13A-AS1
12761,FAM13A
12770,RP11-115D19.2
12797,HPGDS
12853,DAPP1
12855,LAMTOR3
12856,DNAJB14
12867,LINC01218
12868,PPP3CA
12882,MANBA
12884,LRRC37A15P
12885,KRT8P46
12911,RP11-556I14.1
12915,AC004069.2
12916,TET2
12928,INTS12
12947,CYP2U1
12975,PLA2G12A
12982,EGF
13011,C4orf32
13016,TIFA
13017,ALPK1
13018,RTEL1P1
13024,RP11-402J6.3
13025,LARP7
13082,NDST3
13101,USP53
13102,C4orf3
13106,RP11-548H18.2
13107,GTF2IP12
13110,RP11-33B1.1
13112,PDE5A
13123,PRDM5
13126,NDNF
13145,KIAA1109
13162,LINC01091
13202,JADRR
13203,JADE1
13204,SCLT1
13276,SLC7A11
13284,RP11-98O2.1
13288,ELF2
13299,RP11-83A24.2
13300,RP11-83A24.1
13301,RAB33B
13319,ELMOD2
13345,GAB1
13447,AK4P6
13459,FAM160A1
13462,RP11-164P12.5
13481,DKFZP434I0714
13497,KIAA0922
13500,TLR2
13501,RNF175
13502,RP11-153M7.5
13509,RP11-158C21.2
13581,C4orf46
13583,PPID
13644,TMEM192
13645,KLHL2
13647,GK3P
13669,DDX60L
13714,GALNT7
13716,RP11-798M19.3
13717,HMGB2
13723,RP11-489G11.3
13735,FBXO8
13736,CEP44
13739,HPGD
13740,RP11-440I14.2
13741,RP11-440I14.3
13764,VEGFC
13802,DCTD
13832,RP11-290F5.2
13834,IRF2
13841,CASP3
13844,ACSL1
13847,MIR3945HG
13849,LINC01093
13955,SDHA
13976,SPCS2P3
13977,BRD9
13984,SLC12A7
14007,NDUFS6
14011,IRX4
14139,FAM173B
14149,ROPN1L
14151,LINC01513
14152,RPL30P7
14154,LINC02212
14155,LINC02213
14156,RP11-54F2.9
14163,DAP
14182,CTD-2165H16.3
14209,FAM134B
14212,MYO10
14213,RNA5SP179
14218,AC091878.1
14228,LINC02217
14254,RP11-432M8.15
14380,GOLPH3
14409,AMACR
14451,SLC1A3
14454,CTD-2353F22.2
14456,NIPBL
14458,RPS4XP6
14496,FYB
14511,PRKAA1
14515,CARD6
14535,CCDC152
14549,CTD-2035E11.5
14553,RP11-447H19.3
14592,PARP8
14675,IL6ST
14691,C5orf67
14692,AC022431.3
14694,MAP3K1
14704,GPBP1
14725,RP11-266N13.2
14761,IPO11
14766,LRRC70
14790,TRIM23
14798,ERBIN
14806,MAST4
14845,CDK7
14853,MARVELD2
14859,GTF2H2C
14860,RP11-848G14.2
14861,RP11-848G14.5
14865,RP11-98J23.1
14869,RP11-1319K7.1
14873,GTF2H2B
14882,NAIP
14883,GTF2H2
14885,RP11-1280N14.3
14913,TNPO1
14918,FCHO2
14921,TMEM171
14932,BTF3
14934,ANKRA2
14948,ENC1
14950,GFM2
14966,HMGCR
14968,COL4A3BP
14992,IQGAP2
15000,F2RL1
15005,AGGF1
15048,MTX3
15063,ZFYVE16
15064,CTD-2015H6.3
15107,RP11-343L5.2
15109,XRCC4
15144,CTD-2299E8.1
15154,RASA1
15175,CTD-2232E5.2
15187,LYSMD3
15215,FAM172A
15219,RP11-549J18.1
15220,KIAA0825
15224,CTC-303L1.1
15226,SLF1
15227,MCTP1
15245,AC008592.8
15299,CTD-2007H13.1
15324,FAM174A
15327,ST8SIA4
15334,SLCO4C1
15335,RN7SKP68
15341,PAM
15346,C5orf30
15347,CTD-2154H6.1
15366,EFNA5
15381,PJA2
15424,HMGB3P16
15427,APC
15430,SRP19
15437,DCP2
15438,MCC
15450,TRIM36
15452,CTC-428G20.2
15453,PGGT1B
15473,AP3S1
15516,TNFAIP8
15555,CTB-36H16.2
15564,CEP120
15568,CSNK1G3
15571,HMGB1P29
15577,ZNF608
15579,RP11-436H11.5
15609,LMNB1
15657,FNIP1
15671,P4HA2
15675,SLC22A4
15676,AC034220.3
15680,AC116366.5
15686,IL13
15687,IL4
15698,LEAP2
15721,VDAC1
15731,UBE2B
15732,RP11-215P8.2
15737,AC005355.1
15759,MTND4P12
15788,TGFBI
15806,HNRNPA0
15820,BRD8
15825,CDC25C
15827,KDM3B
15860,UBE2D2
15879,PFDN1
15882,SLC4A9
15889,APBB3
15894,HAUS1P1
15902,HARS
15930,CH17-140K24.1
15947,PCDHB11
